S,K,T,r,sigma,type,lastPrice,bsPrice
6770.0,7050.0,1.0,0.04,0.20784903975823185,P,559.22,562.290115
6770.0,5600.0,0.1643835616438356,0.04,0.20759622306040845,C,1215.58,1208.419532
6770.0,5675.0,0.4931506849315068,0.04,0.21558160691496628,P,42.02,42.607945
6770.0,7075.0,0.057534246575342465,0.04,0.18324750594067052,C,27.8,27.805068
6770.0,5225.0,0.4931506849315068,0.04,0.204218738517853,C,1660.52,1655.366321
6770.0,5975.0,0.0136986301369863,0.04,0.19252685589130245,P,0.0,0.0
6770.0,7100.0,0.1643835616438356,0.04,0.18705780085539375,P,373.13,380.64187
6770.0,6575.0,0.2465753424657534,0.04,0.19430203405522092,P,144.66,146.393502
6770.0,6200.0,0.057534246575342465,0.04,0.1874001937462015,P,2.52,2.417945
6770.0,5275.0,0.019178082191780823,0.04,0.2044302712909266,C,1535.47,1499.045024
6770.0,5375.0,0.1643835616438356,0.04,0.2061208097641883,P,0.33,0.334171
6770.0,8325.0,0.0821917808219178,0.04,0.20599076402341562,P,1555.0,1527.70718
6770.0,8175.0,0.0136986301369863,0.04,0.2032000420675847,P,1405.0,1400.521775
6770.0,5975.0,0.057534246575342465,0.04,0.18494663558476826,P,0.0,0.170481
6770.0,8200.0,0.0821917808219178,0.04,0.2013000667091448,C,0.0,0.062676
6770.0,8300.0,0.038356164383561646,0.04,0.20100543332000953,C,0.02,7e-06
6770.0,6775.0,0.0136986301369863,0.04,0.18642691356596805,C,58.68,58.293623
6770.0,7700.0,0.038356164383561646,0.04,0.19677002915213274,C,0.0,0.035332
6770.0,8225.0,0.019178082191780823,0.04,0.19765577095567347,C,0.0,0.0
6770.0,5975.0,0.3287671232876712,0.04,0.20876303654644643,C,914.54,919.651258
6770.0,6900.0,0.4931506849315068,0.04,0.18249876632113177,P,344.43,343.395895
6770.0,5650.0,0.1232876712328767,0.04,0.19610573757389865,P,0.32,0.453074
6770.0,7775.0,0.1232876712328767,0.04,0.19976759382501202,P,1005.0,972.317643
6770.0,8350.0,0.019178082191780823,0.04,0.19760338368958077,P,1580.0,1573.596977
6770.0,6375.0,1.0,0.04,0.20939359989293402,P,277.37,275.157852
6770.0,7175.0,0.0821917808219178,0.04,0.1891219228171935,P,411.22,412.223814
6770.0,7125.0,0.3287671232876712,0.04,0.19833477422910276,P,460.8,461.123504
6770.0,6100.0,0.0821917808219178,0.04,0.20208433210626583,C,698.85,694.629072
6770.0,5125.0,0.0821917808219178,0.04,0.20245819968428425,P,0.0,4e-05
6770.0,4850.0,0.4931506849315068,0.04,0.21959051530651622,P,3.17,3.283663
6770.0,4825.0,0.3287671232876712,0.04,0.21738587999245318,P,0.07,0.498106
6770.0,8450.0,0.4931506849315068,0.04,0.21466339975563106,P,1680.0,1562.077085
6770.0,5150.0,0.0136986301369863,0.04,0.20121329146318837,C,1626.55,1622.821145
6770.0,8500.0,0.3287671232876712,0.04,0.2119774467859538,C,15.29,14.285569
6770.0,8175.0,0.3287671232876712,0.04,0.20132935385250517,C,24.03,23.874584
6770.0,5175.0,0.057534246575342465,0.04,0.21268853567267973,C,1595.0,1606.895898
6770.0,7700.0,0.005479452054794521,0.04,0.1930746380626153,P,934.48,928.312514
6770.0,7425.0,0.038356164383561646,0.04,0.18834004480920602,C,0.0,0.588501
6770.0,8750.0,0.1232876712328767,0.04,0.2123446548143993,C,0.0,0.054668
6770.0,7200.0,0.1232876712328767,0.04,0.1934102043720706,C,53.36,53.491855
6770.0,5775.0,0.1232876712328767,0.04,0.19824562733968168,C,1024.27,1024.762157
6770.0,6675.0,0.1232876712328767,0.04,0.1906706237677677,C,255.82,250.204221
6770.0,6275.0,0.019178082191780823,0.04,0.18041331409456857,C,502.19,499.860379
6770.0,8675.0,1.0,0.04,0.22410873537504294,C,161.34,159.984564
6770.0,7725.0,0.1232876712328767,0.04,0.1957225851160836,C,5.92,6.256371
6770.0,7850.0,0.057534246575342465,0.04,0.1977229075210247,P,1080.0,1062.056965
6770.0,8450.0,0.1232876712328767,0.04,0.2038717312197918,P,1680.0,1638.618356
6770.0,8750.0,0.3287671232876712,0.04,0.21755238901589358,P,1980.0,1874.88983
6770.0,8700.0,0.3287671232876712,0.04,0.2141060014971187,C,9.34,9.404418
6770.0,7925.0,0.019178082191780823,0.04,0.18887282132083336,P,1155.0,1148.922879
6770.0,8175.0,1.0,0.04,0.21616849464436877,C,232.1,229.341267
